average_meeting_duration,mice_combination,number_of_meetings,phase,room_id,total_meeting_duration
48881.611111111109,0065-0136670531_0065-0136659288,36,PHASE 2 dark,4,1759738
5383.0,0065-0136670531_0065-0136659288,2,PHASE 2 light,1,10766
397273.28378378379,0065-0136670531_0065-0136659288,74,PHASE 2 light,2,29398223
2684.0,0065-0136670531_0065-0136659288,2,PHASE 2 light,3,5368
392692.17647058825,0065-0136670531_0065-0136659288,17,PHASE 3 dark,1,6675767
101483.48175182482,0065-0136670531_0065-0136659288,137,PHASE 3 dark,2,13903237
10586.0,0065-0136670531_0065-0136659288,4,PHASE 3 dark,3,42344
48235.846153846156,0065-0136670531_0065-0136659288,13,PHASE 3 dark,4,627066
892083.09999999998,0065-0136670531_0065-0136659288,10,PHASE 3 light,1,8920831
585159.17073170736,0065-0136670531_0065-0136659288,41,PHASE 3 light,2,23991526
122401.08108108108,0065-0136670531_0065-0136671473,37,PHASE 1 dark,1,4528840
34903.205128205125,0065-0136670531_0065-0136671473,39,PHASE 1 dark,2,1361225
50783.714285714283,0065-0136670531_0065-0136671473,147,PHASE 1 dark,3,7465206
10616.4375,0065-0136670531_0065-0136671473,32,PHASE 1 dark,4,339726
554208.91111111105,0065-0136670531_0065-0136671473,45,PHASE 1 light,1,24939401
39797.0,0065-0136670531_0065-0136671473,5,PHASE 1 light,2,198985
8742.7999999999993,0065-0136670531_0065-0136671473,5,PHASE 1 light,3,43714
60963.590909090912,0065-0136670531_0065-0136671473,22,PHASE 1 light,4,1341199
120128.2614379085,0065-0136670531_0065-0136671473,153,PHASE 2 dark,1,18379624
474492.45454545453,0065-0136670531_0065-0136671473,22,PHASE 2 dark,2,10438834
22161.785714285714,0065-0136670531_0065-0136671473,14,PHASE 2 dark,3,310265
33843.739130434784,0065-0136670531_0065-0136671473,46,PHASE 2 dark,4,1556812
6993.666666666667,0065-0136670531_0065-0136671473,3,PHASE 2 light,1,20981
327942.87209302327,0065-0136670531_0065-0136671473,86,PHASE 2 light,2,28203087
9465.75,0065-0136670531_0065-0136671473,4,PHASE 2 light,4,37863
277101.16666666669,0065-0136670531_0065-0136671473,24,PHASE 3 dark,1,6650428
111147.43548387097,0065-0136670531_0065-0136671473,124,PHASE 3 dark,2,13782282
23126.090909090908,0065-0136670531_0065-0136671473,11,PHASE 3 dark,3,254387
107946.88888888889,0065-0136670531_0065-0136671473,9,PHASE 3 dark,4,971522
499901.27272727271,0065-0136670531_0065-0136671473,11,PHASE 3 light,1,5498914
771446.29032258061,0065-0136670531_0065-0136671473,31,PHASE 3 light,2,23914835
40927.0,0065-0136670531_0065-0136671473,2,PHASE 3 light,3,81854
17885.956521739132,0065-0136670531_0065-0136653169,23,PHASE 1 dark,1,411377
17535.971428571429,0065-0136670531_0065-0136653169,35,PHASE 1 dark,2,613759
110491.79699248121,0065-0136670531_0065-0136653169,133,PHASE 1 dark,3,14695409
9681.8999999999996,0065-0136670531_0065-0136653169,30,PHASE 1 dark,4,290457
411154.08333333331,0065-0136670531_0065-0136653169,60,PHASE 1 light,1,24669245
12392.0,0065-0136670531_0065-0136653169,3,PHASE 1 light,2,37176
7292.0,0065-0136670531_0065-0136653169,3,PHASE 1 light,3,21876
62915.529411764706,0065-0136670531_0065-0136653169,17,PHASE 1 light,4,1069564
162758.5,0065-0136670531_0065-0136653169,148,PHASE 2 dark,1,24088258
83692.642857142855,0065-0136670531_0065-0136653169,14,PHASE 2 dark,2,1171697
13687.076923076924,0065-0136670531_0065-0136653169,13,PHASE 2 dark,3,177932
31793.923076923078,0065-0136670531_0065-0136653169,39,PHASE 2 dark,4,1239963
7402.0,0065-0136670531_0065-0136653169,5,PHASE 2 light,1,37010
481748.59016393445,0065-0136670531_0065-0136653169,61,PHASE 2 light,2,29386664
11884.200000000001,0065-0136670531_0065-0136653169,5,PHASE 2 light,3,59421
4266.333333333333,0065-0136670531_0065-0136653169,3,PHASE 2 light,4,12799
303955.20000000001,0065-0136670531_0065-0136653169,25,PHASE 3 dark,1,7598880
87978.128571428577,0065-0136670531_0065-0136653169,70,PHASE 3 dark,2,6158469
24770.400000000001,0065-0136670531_0065-0136653169,5,PHASE 3 dark,3,123852
80556.666666666672,0065-0136670531_0065-0136653169,9,PHASE 3 dark,4,725010
287839.42105263157,0065-0136670531_0065-0136653169,19,PHASE 3 light,1,5468949
708059.0,0065-0136670531_0065-0136653169,29,PHASE 3 light,2,20533711
211417.17999999999,0065-0136670531_0065-0136660676,50,PHASE 1 dark,1,10570859
17902.893617021276,0065-0136670531_0065-0136660676,47,PHASE 1 dark,2,841436
97789.699999999997,0065-0136670531_0065-0136660676,130,PHASE 1 dark,3,12712661
12368.918918918918,0065-0136670531_0065-0136660676,37,PHASE 1 dark,4,457650
452392.45000000001,0065-0136670531_0065-0136660676,60,PHASE 1 light,1,27143547
21283.333333333332,0065-0136670531_0065-0136660676,6,PHASE 1 light,2,127700
12995.666666666666,0065-0136670531_0065-0136660676,6,PHASE 1 light,3,77974
56963.0,0065-0136670531_0065-0136660676,11,PHASE 1 light,4,626593
124615.40458015267,0065-0136670531_0065-0136660676,131,PHASE 2 dark,1,16324618
503363.11111111112,0065-0136670531_0065-0136660676,18,PHASE 2 dark,2,9060536
20536.846153846152,0065-0136670531_0065-0136660676,13,PHASE 2 dark,3,266979
36546.034482758623,0065-0136670531_0065-0136660676,29,PHASE 2 dark,4,1059835
421126.94029850746,0065-0136670531_0065-0136660676,67,PHASE 2 light,2,28215505
10639.0,0065-0136670531_0065-0136660676,2,PHASE 2 light,3,21278
