No,Size,Intensity,Animal_number,Picture_number,Age
40.0,2.763893,241.389405,1172.0,4.0,19.0
41.0,2.503417,281.539781,1172.0,4.0,19.0
42.0,2.717951,416.460336,1172.0,4.0,19.0
43.0,2.962995,278.852637,1172.0,4.0,19.0
44.0,2.341492,345.260747,1172.0,4.0,19.0
45.0,2.892893,324.113034,1172.0,4.0,19.0
46.0,2.94319,284.660589,1172.0,4.0,19.0
47.0,2.764903,267.195649,1172.0,4.0,19.0
48.0,2.866426,198.983617,1172.0,4.0,19.0
1.0,2.930496,373.223671,1172.0,5.0,19.0
2.0,2.930634,301.557158,1172.0,5.0,19.0
3.0,2.331152,299.149326,1172.0,5.0,19.0
4.0,2.368207,264.074264,1172.0,5.0,19.0
5.0,2.446852,284.748837,1172.0,5.0,19.0
6.0,2.932693,216.596148,1172.0,5.0,19.0
7.0,2.376727,265.024406,1172.0,5.0,19.0
8.0,2.424573,249.709014,1172.0,5.0,19.0
9.0,2.777591,150.652632,1172.0,5.0,19.0
10.0,2.856005,266.67693,1172.0,5.0,19.0
11.0,2.994834,411.169578,1172.0,5.0,19.0
12.0,2.783432,258.873713,1172.0,5.0,19.0
13.0,2.79402,163.581876,1172.0,5.0,19.0
14.0,2.727721,329.413497,1172.0,5.0,19.0
15.0,2.526063,329.506399,1172.0,5.0,19.0
16.0,2.490082,284.184021,1172.0,5.0,19.0
17.0,2.899864,258.684789,1172.0,5.0,19.0
18.0,2.501139,248.270404,1172.0,5.0,19.0
19.0,2.72744,267.973303,1172.0,5.0,19.0
20.0,2.721055,228.087692,1172.0,5.0,19.0
21.0,2.514117,358.504372,1172.0,5.0,19.0
22.0,2.615731,453.421233,1172.0,5.0,19.0
23.0,2.639409,342.678235,1172.0,5.0,19.0
24.0,2.705293,312.5635,1172.0,5.0,19.0
25.0,2.632625,314.878016,1172.0,5.0,19.0
26.0,2.940879,275.085733,1172.0,5.0,19.0
27.0,2.421363,352.933882,1172.0,5.0,19.0
28.0,2.522448,182.071409,1172.0,5.0,19.0
29.0,2.511395,420.21171,1172.0,5.0,19.0
30.0,2.791602,397.126972,1172.0,5.0,19.0
31.0,2.512628,218.457217,1172.0,5.0,19.0
32.0,2.938067,229.392665,1172.0,5.0,19.0
33.0,2.799761,258.057603,1172.0,5.0,19.0
34.0,2.859602,320.55685,1172.0,5.0,19.0
35.0,2.479753,276.612898,1172.0,5.0,19.0
36.0,2.8644,257.811696,1172.0,5.0,19.0
37.0,2.493669,236.036753,1172.0,5.0,19.0
1.0,2.986387,369.989077,1234.0,1.0,19.0
2.0,2.967277,221.236283,1234.0,1.0,19.0
3.0,3.168542,319.20578,1234.0,1.0,19.0
4.0,3.182457,161.624213,1234.0,1.0,19.0
5.0,3.114889,341.06948,1234.0,1.0,19.0
6.0,3.064741,283.331103,1234.0,1.0,19.0
7.0,2.976954,328.726787,1234.0,1.0,19.0
8.0,3.132942,264.936294,1234.0,1.0,19.0
9.0,3.065074,168.329662,1234.0,1.0,19.0
10.0,3.077371,274.103742,1234.0,1.0,19.0
11.0,3.097932,330.305944,1234.0,1.0,19.0
12.0,2.641232,300.409492,1234.0,1.0,19.0
13.0,2.839305,205.694387,1234.0,1.0,19.0
14.0,2.707489,259.527883,1234.0,1.0,19.0
15.0,2.687321,234.960345,1234.0,1.0,19.0
16.0,2.518303,266.568848,1234.0,1.0,19.0
17.0,3.094924,207.105929,1234.0,1.0,19.0
18.0,3.163383,341.871458,1234.0,1.0,19.0
19.0,3.058574,267.292479,1234.0,1.0,19.0
20.0,2.563897,307.151819,1234.0,1.0,19.0
21.0,3.071845,379.01868,1234.0,1.0,19.0
22.0,3.084167,346.082967,1234.0,1.0,19.0
23.0,3.107522,402.789199,1234.0,1.0,19.0
24.0,2.668935,298.28282,1234.0,1.0,19.0
25.0,2.677718,306.294014,1234.0,1.0,19.0
26.0,2.542822,366.748825,1234.0,1.0,19.0
27.0,2.629185,200.828176,1234.0,1.0,19.0
28.0,2.918516,359.197607,1234.0,1.0,19.0
29.0,3.161048,206.121936,1234.0,1.0,19.0
30.0,3.054711,288.545453,1234.0,1.0,19.0
31.0,2.58993,239.307274,1234.0,1.0,19.0
32.0,2.662779,316.953005,1234.0,1.0,19.0
33.0,2.507444,219.271414,1234.0,1.0,19.0
34.0,3.147786,267.095791,1234.0,1.0,19.0
35.0,2.919759,165.956164,1234.0,1.0,19.0
36.0,2.726469,258.494564,1234.0,1.0,19.0
37.0,3.013656,285.462767,1234.0,1.0,19.0
38.0,2.674921,210.427466,1234.0,1.0,19.0
39.0,2.919645,218.250341,1234.0,1.0,19.0
40.0,2.722129,247.699968,1234.0,1.0,19.0
41.0,2.786901,317.755357,1234.0,1.0,19.0
42.0,2.618877,375.324689,1234.0,1.0,19.0
43.0,2.842419,363.96488,1234.0,1.0,19.0
44.0,2.568059,313.705856,1234.0,1.0,19.0
1.0,2.695071,388.965518,912.0,3.0,23.0
2.0,2.419715,297.643521,912.0,3.0,23.0
3.0,2.411289,335.312828,912.0,3.0,23.0
4.0,2.388352,263.679856,912.0,3.0,23.0
5.0,2.25786,302.761874,912.0,3.0,23.0
6.0,2.29617,307.265719,912.0,3.0,23.0
7.0,2.035749,202.771762,912.0,3.0,23.0
8.0,2.078006,336.859317,912.0,3.0,23.0
9.0,2.583932,340.10714,912.0,3.0,23.0
10.0,2.543151,222.622423,912.0,3.0,23.0
11.0,2.052959,263.015412,912.0,3.0,23.0
12.0,2.036141,360.081609,912.0,3.0,23.0
13.0,2.161548,273.228055,912.0,3.0,23.0
14.0,2.393959,358.767657,912.0,3.0,23.0
15.0,2.05328,464.353334,912.0,3.0,23.0
16.0,2.457908,298.278266,912.0,3.0,23.0
17.0,2.297827,319.217607,912.0,3.0,23.0
